"RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE","RC-COMBINED GENDER BY RACE INDICATOR","SEXUAL IDENTITY","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Male, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Male, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Male, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","3 - Male, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Male, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Male, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Male, Black, Not Hisp","98 - BLANK","0.016","0.016","0.002","0.109","0.024","0.0228","0.003","0.15","0.328","0.2642","0.042","0.844","1000","1","1000"
"97 - REFUSED","3 - Male, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","3 - Male, Black, Not Hisp","98 - BLANK","0.034","0.0219","0.009","0.119","0.11","0.0727","0.027","0.355","0.672","0.2642","0.156","0.958","1000","3","1000"
"Overall","4 - Female, Black, Not Hisp","98 - BLANK","0.033","0.0217","0.008","0.118","0.033","0.0217","0.008","0.118","1","0","N/A","N/A","1000","3","1000"
"1 - Within the past 30 days","4 - Female, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Female, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Female, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","4 - Female, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","4 - Female, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Female, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Female, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Female, Black, Not Hisp","98 - BLANK","0.022","0.0186","0.004","0.114","0.031","0.0266","0.005","0.159","0.659","0.2974","0.119","0.965","1000","2","1000"
"97 - REFUSED","4 - Female, Black, Not Hisp","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","4 - Female, Black, Not Hisp","98 - BLANK","0.011","0.0112","0.001","0.08","0.036","0.0369","0.005","0.238","0.341","0.2974","0.035","0.881","0","1","0"
"Overall","5 - Male, Hispanic","98 - BLANK","0.148","0.0501","0.072","0.278","0.148","0.0501","0.072","0.278","1","0","N/A","N/A","5000","12","2000"
"1 - Within the past 30 days","5 - Male, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Male, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Male, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","5 - Male, Hispanic","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","5 - Male, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Male, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Male, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Male, Hispanic","98 - BLANK","0.148","0.0501","0.072","0.278","0.214","0.0724","0.103","0.392","1","0","N/A","N/A","5000","12","2000"
"97 - REFUSED","5 - Male, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","5 - Male, Hispanic","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"Overall","6 - Female, Hispanic","98 - BLANK","0.115","0.0527","0.044","0.269","0.115","0.0527","0.044","0.269","1","0","N/A","N/A","4000","10","2000"
"1 - Within the past 30 days","6 - Female, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Female, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Female, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","6 - Female, Hispanic","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","6 - Female, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Female, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Female, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Female, Hispanic","98 - BLANK","0.101","0.052","0.034","0.262","0.146","0.0731","0.05","0.357","0.875","0.1242","0.418","0.985","4000","9","2000"
"97 - REFUSED","6 - Female, Hispanic","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","6 - Female, Hispanic","98 - BLANK","0.014","0.014","0.002","0.095","0.047","0.0472","0.006","0.29","0.125","0.1242","0.015","0.582","1000","1","1000"
"Overall","7 - Male or Female, Other Races","98 - BLANK","0.054","0.0288","0.018","0.151","0.054","0.0288","0.018","0.151","1","0","N/A","N/A","2000","11","1000"
"1 - Within the past 30 days","7 - Male or Female, Other Races","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Male or Female, Other Races","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Male or Female, Other Races","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","7 - Male or Female, Other Races","98 - BLANK","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","7 - Male or Female, Other Races","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Male or Female, Other Races","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Male or Female, Other Races","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Male or Female, Other Races","98 - BLANK","0.054","0.0288","0.018","0.15","0.077","0.0412","0.026","0.211","0.99","0.0112","0.913","0.999","2000","10","1000"
"97 - REFUSED","7 - Male or Female, Other Races","98 - BLANK","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"98 - MISSING","7 - Male or Female, Other Races","98 - BLANK","0.001","0.0006","0","0.004","0.002","0.0019","0","0.015","0.01","0.0112","0.001","0.087","0","1","0"
"Overall","Overall","99 - LEGITIMATE SKIP","1","0","N/A","N/A","1","0","N/A","N/A","1","0","N/A","N/A","6918000","68261","44000"
"1 - Within the past 30 days","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","1","0","N/A","N/A","0","0.0001","0","0.001","2000","19","1000"
"13 - More than 12 months ago LOGICALLY ASSIGNED","Overall","99 - LEGITIMATE SKIP","0","0","0","0","1","0","N/A","N/A","0","0","0","0","0","1","0"
"2 - More than 30 days ago but within the past 12 mos","Overall","99 - LEGITIMATE SKIP","0","0.0001","0","0","1","0","N/A","N/A","0","0.0001","0","0","1000","14","0"
"3 - More than 12 months ago","Overall","99 - LEGITIMATE SKIP","0.001","0.0001","0","0.001","1","0","N/A","N/A","0.001","0.0001","0","0.001","3000","44","1000"
"8 - At some point in the past 12 months LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","Overall","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","Overall","99 - LEGITIMATE SKIP","0","0","0","0","1","0","N/A","N/A","0","0","0","0","1000","8","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","Overall","99 - LEGITIMATE SKIP","0.996","0.0003","0.995","0.997","1","0","N/A","N/A","0.996","0.0003","0.995","0.997","6892000","67999","44000"
"97 - REFUSED","Overall","99 - LEGITIMATE SKIP","0.001","0.0002","0.001","0.002","1","0","N/A","N/A","0.001","0.0002","0.001","0.002","7000","65","2000"
"98 - MISSING","Overall","99 - LEGITIMATE SKIP","0.002","0.0002","0.001","0.002","1","0","N/A","N/A","0.002","0.0002","0.001","0.002","12000","111","1000"
"Overall","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0.269","0.002","0.265","0.273","0.269","0.002","0.265","0.273","1","0","N/A","N/A","1860000","18551","18000"
"1 - Within the past 30 days","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.323","0.1437","0.113","0.641","0","0.0002","0","0.001","1000","6","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","1","0","N/A","N/A","0","0.0001","0","0.001","0","1","0"
"2 - More than 30 days ago but within the past 12 mos","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.414","0.173","0.144","0.747","0","0.0002","0","0.001","1000","4","0"
"3 - More than 12 months ago","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.421","0.0933","0.252","0.611","0.001","0.0002","0","0.001","1000","18","0"
"8 - At some point in the past 12 months LOG ASSN","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.057","0.0584","0.007","0.349","0","0","0","0","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0.268","0.002","0.264","0.272","0.269","0.002","0.265","0.273","0.996","0.0006","0.995","0.997","1853000","18479","18000"
"97 - REFUSED","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.123","0.0442","0.058","0.242","0","0.0002","0","0.001","1000","13","0"
"98 - MISSING","1 - Male, White, Not Hisp","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.252","0.0562","0.156","0.38","0.002","0.0004","0.001","0.003","3000","29","1000"
"Overall","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0.257","0.0024","0.253","0.262","0.257","0.0024","0.253","0.262","1","0","N/A","N/A","1781000","17421","21000"
"1 - Within the past 30 days","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.194","0.1307","0.043","0.563","0","0.0002","0","0.001","0","3","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.205","0.1263","0.051","0.55","0","0.0001","0","0.001","0","4","0"
"3 - More than 12 months ago","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.372","0.0967","0.205","0.576","0.001","0.0003","0","0.001","1000","14","0"
"8 - At some point in the past 12 months LOG ASSN","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.16","0.1473","0.021","0.633","0","0.0001","0","0","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0.257","0.0024","0.252","0.262","0.258","0.0024","0.253","0.263","0.997","0.0003","0.997","0.998","1776000","17372","21000"
"97 - REFUSED","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.141","0.0621","0.055","0.315","0.001","0.0003","0","0.001","1000","9","0"
"98 - MISSING","2 - Female, White, Not Hisp","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.145","0.0354","0.087","0.231","0.001","0.0002","0.001","0.002","2000","18","0"
"Overall","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0.069","0.0016","0.066","0.072","0.069","0.0016","0.066","0.072","1","0","N/A","N/A","476000","4533","11000"
"1 - Within the past 30 days","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.206","0.1264","0.052","0.55","0.001","0.0006","0","0.004","0","2","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.379","0.2157","0.088","0.794","0","0.0004","0","0.002","0","2","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0.068","0.0016","0.065","0.071","0.068","0.0016","0.065","0.072","0.992","0.0019","0.987","0.995","472000","4501","11000"
"97 - REFUSED","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.158","0.0646","0.066","0.332","0.002","0.0011","0.001","0.006","1000","9","1000"
"98 - MISSING","3 - Male, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.193","0.0424","0.121","0.292","0.005","0.0013","0.003","0.008","2000","19","1000"
"Overall","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0.068","0.0014","0.065","0.07","0.068","0.0014","0.065","0.07","1","0","N/A","N/A","468000","4483","10000"
"1 - Within the past 30 days","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.047","0.0474","0.006","0.291","0","0.0002","0","0.002","0","1","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.086","0.0732","0.014","0.379","0","0.0003","0","0.002","0","1","0"
"3 - More than 12 months ago","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"8 - At some point in the past 12 months LOG ASSN","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.336","0.1809","0.09","0.72","0","0.0003","0","0.001","0","3","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0.067","0.0014","0.065","0.07","0.068","0.0014","0.065","0.071","0.997","0.0009","0.994","0.998","467000","4466","10000"
"97 - REFUSED","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.083","0.0377","0.032","0.197","0.001","0.0006","0.001","0.003","1000","6","0"
"98 - MISSING","4 - Female, Black, Not Hisp","99 - LEGITIMATE SKIP","0","0","0","0","0.049","0.0263","0.017","0.138","0.001","0.0006","0","0.003","1000","6","0"
"Overall","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0.122","0.0021","0.118","0.127","0.122","0.0021","0.118","0.127","1","0","N/A","N/A","846000","7828","16000"
"1 - Within the past 30 days","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0","0","0","0","0.052","0.0285","0.017","0.149","0","0.0001","0","0.001","0","2","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"3 - More than 12 months ago","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0","0","0","0","0.049","0.0372","0.01","0.204","0","0.0002","0","0.001","0","3","0"
"8 - At some point in the past 12 months LOG ASSN","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0.122","0.0021","0.118","0.126","0.122","0.0021","0.118","0.127","0.997","0.0006","0.996","0.998","844000","7802","16000"
"97 - REFUSED","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.113","0.0506","0.044","0.26","0.001","0.0004","0","0.002","1000","10","0"
"98 - MISSING","5 - Male, Hispanic","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.088","0.0327","0.041","0.179","0.001","0.0005","0.001","0.003","1000","11","0"
"Overall","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0.118","0.0022","0.113","0.122","0.118","0.0022","0.113","0.122","1","0","N/A","N/A","813000","7552","16000"
"1 - Within the past 30 days","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0","0","0","0","0.039","0.03","0.008","0.169","0","0.0001","0","0","0","2","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0","0","0","0","0.112","0.1057","0.015","0.516","0","0.0002","0","0.001","0","1","0"
"3 - More than 12 months ago","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0","0","0","0","0.041","0.0358","0.007","0.21","0","0.0002","0","0.001","0","2","0"
"8 - At some point in the past 12 months LOG ASSN","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0","0","0","0","0.069","0.07","0.008","0.398","0","0","0","0","0","1","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0.117","0.0021","0.113","0.121","0.118","0.0021","0.113","0.122","0.996","0.0014","0.992","0.998","810000","7529","16000"
"97 - REFUSED","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0","0.0002","0","0.001","0.235","0.1064","0.085","0.502","0.002","0.0013","0.001","0.007","2000","10","1000"
"98 - MISSING","6 - Female, Hispanic","99 - LEGITIMATE SKIP","0","0","0","0","0.067","0.0292","0.027","0.155","0.001","0.0004","0","0.002","1000","7","0"
"Overall","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0.098","0.0018","0.094","0.101","0.098","0.0018","0.094","0.101","1","0","N/A","N/A","675000","7893","13000"
"1 - Within the past 30 days","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0","0","0","0","0.139","0.1139","0.023","0.522","0","0.0004","0","0.002","0","3","0"
"13 - More than 12 months ago LOGICALLY ASSIGNED","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"2 - More than 30 days ago but within the past 12 mos","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0","0","0","0","0.183","0.1037","0.053","0.474","0","0.0002","0","0.001","0","4","0"
"3 - More than 12 months ago","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0","0","0","0","0.117","0.0418","0.055","0.23","0.001","0.0002","0","0.001","0","7","0"
"8 - At some point in the past 12 months LOG ASSN","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"81 - NEVER USED COC/HER/STM W/NEEDLE Log assn","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0","0","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","0","0","0"
"9 - At some point in the lifetime LOG ASSN","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0","0","N/A","N/A","0","0","N/A","N/A","0","0","N/A","N/A","0","0","0"
"91 - NEVER USED COC/HER/STM WITH A NEEDLE","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0.097","0.0019","0.093","0.101","0.097","0.0019","0.094","0.101","0.993","0.0014","0.99","0.996","671000","7850","13000"
"97 - REFUSED","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0","0.0001","0","0","0.149","0.0391","0.086","0.245","0.002","0.0005","0.001","0.003","1000","8","0"
"98 - MISSING","7 - Male or Female, Other Races","99 - LEGITIMATE SKIP","0","0.0001","0","0.001","0.207","0.0619","0.109","0.358","0.004","0.0012","0.002","0.007","2000","21","1000"
